Applicability,Service,Reporting period,Section,Indicator,Scope,Value
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,total,"178,300,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,"2,700,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,"4,300,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,"2,900,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,"1,400,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,"600,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,"2,500,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,"1,600,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,"500,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,"1,900,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,"29,100,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,"27,300,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,GR,"4,700,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,"3,600,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,"2,500,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,"25,200,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,"1,000,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,"1,100,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,"300,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,"300,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,"7,500,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,"14,200,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,"4,400,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,"9,500,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,"1,200,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,"600,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,ES,"25,000,000"
All,TikTok,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,"3,700,000"
