Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,TOTAL,782,4495,,5,10932,,97,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,We confirm receipt by sending an automatic acknowledgement.,,,We confirm receipt by sending an automatic acknowledgement.,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,30,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1a,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1b,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",TOTAL,,,,,30,,142,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,,0,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2a,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2b,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2c,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2d,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",TOTAL,0,0,,0,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0,0,,0,1111,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying.",TOTAL,0,0,,0,739,,173,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3c,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3d,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion.",TOTAL,0,0,,0,372,,123,,,,,,,
