Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,714523,212,322400,194,5.83,0.98,61109,72,34884,48,"This includes the number of notices in relation to Video, Live, Comments, Ads or Product listings","This includes the number of notices from Trusted Flaggers in relation to Video, Live, Comments, Ads or Product listings","This represents the deduplicated count of items reported (Video, Live, Comments, Ads, Product listings)","This represents the deduplicated count of items reported by Trusted Flaggers  (Video, Live, Comments, Ads, Product listings)",,,"This represents the count of items that have been restricted based on local law violation (Video, Live, Comments, Ads, Product listings)","This represents the count of items that have been restricted based on local law violation, following Trusted Flaggers reports (Video, Live, Comments, Ads, Product listings)",This represents the count of items that have been removed due to violation of our Policies and following being reported for illegal content,This represents the count of items that have been removed due to violation of our Policies and following being reported for illegal content by Trusted Flaggers
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1a,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1b,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1c,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2a,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2b,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2c,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2d,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2f,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,82249,8,39105,6,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider user or trusted flaggers report for the following reason: Harassment or threats.",30796,8,15308,6,6.4,12.37,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3c,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3d,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider user or trusted flaggers report for the following reason: Non-consensual sharing of private or intimate images.",51453,0,23797,0,12.67,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3f,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3g,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4a,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4b,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4c,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4d,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4e,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4f,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
