Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,,YYYY-MM-DD/YYYY-MM-DD,TOTAL,,,,,,,,,,,,,,,,,,"We assess the legality of content where it is reported to us as suspected illegal content, including through user reports, Trusted Flagger notices, or government orders. Outside of these channels, our proactive detection efforts focus on identifying and enforcing violations of our Policies.",,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
