Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,258691522,220097575,112104964,,,28117025,,,117175788,,,,1293745,,,3086572,We sum all of the enforcement actions reported under the other columns.,We consider all of the automated actions enforced solely by automated means.,"We consider removals of Video, Live, Comments, Ads, Product Listings and Sellers",,,We consider videos and live streams restricted from users under the age of 18,,,We consider videos and live streams that have labeled as not recommended,,,,We consider Live access bans,,,"We consider user and ads actors account bans, as well as creator bans from using TikTok Shop features."
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,414886,402014,287318,,,,,,126101,,,,1467,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1a,KEYWORD_ANIMAL_HARM,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Animal Abuse.",414886,402014,287318,,,,,,126101,,,,1467,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1b,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1c,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,571,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2a,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2b,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2c,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2d,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 2f,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Consumer Protection.",571,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,47734155,49229437,46528194,,,,,,1081191,,,,124770,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider violations of the following policies: Safety and Civility - Harassment and Bullying.",39248862,40395983,38106793,,,,,,1071121,,,,70948,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3c,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 3d,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
