Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,15411338,Total number of complaints received across all enforcment actions relevant to this section
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,8296750,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,7114588,Number of successful complaints  received across all enforcment actions relevant to this section
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,1.91,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,12550109,Number of appeals received for enforcement actions counted as Visibility restriction Removal and Visibility restriction Other
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,6458546,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,6091563,Number of successful appeals received for enforcement actions counted as Visibility restriction Removal and Visibility restriction Other
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,2.32,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,1943822,Number of appeals received for enforcement actions counted as Provision of the service Suspension
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,1282808,
All,TikTok,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
