Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,total,220217619,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,AT,2511533,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,BE,3505197,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,BG,7161943,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,CY,684320,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,CZ,5613364,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,DE,25093012,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,DK,2238535,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,EE,1126438,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,ES,33857143,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,FI,2374651,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,FR,27217570,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,GR,4250135,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,HR,1134558,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,HU,3908250,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,IE,3358506,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,IT,37781784,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,LT,1483500,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,LU,312247,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,LV,1626308,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,MT,256053,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,NL,6215971,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,PL,17270649,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,PT,2370890,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,RO,19692350,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,SE,6009860,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,SI ,723844,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,SK,2440488,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,total,14874341,"Number of actions taken by humans, following automated review"
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,AT,469586,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,BE,462504,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,BG,278800,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,CY,178032,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,CZ,326949,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,DE,1697091,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,DK,542832,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,EE,233060,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ES,1662981,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,FI,421777,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,FR,1638099,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,GR,260016,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,HR,165870,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,HU,330836,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,IE,472078,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,IT,1727611,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LT,250738,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LU,44195,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LV,186708,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,MT,10049,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,NL,917664,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,PL,791757,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,PT,465023,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,RO,554214,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SE,499780,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SI ,216328,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SK,187559,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,total,0.918,"It is calculated as upheld automated enforcement actions plus restored human enforcement actions, divided by total enforcement outcomes."
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,AT,0.842,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,BE,0.883,
All,TikTok,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,BG,0.963,
