Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Category 1c,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Category 2a,"Hidden advertisement or commercial communication, including by influencers ",KEYWORD_HIDDEN_ADVERTISEMENT,
Category 2b,Insufficient information on traders ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Category 2d,Misleading information about the consumer’s rights ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Category 2e,Non-compliance with pricing regulations  ,KEYWORD_NONCOMPLIANCE_PRICING,
Category 2f,Not captured by any other sub-category ,KEYWORD_OTHER,
Category 3,Cyber violence,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Category 3a,Cyber bullying and intimidation,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Category 3b,Cyber harassment,KEYWORD_CYBER_HARASSMENT,
Category 3c,Cyber incitement to hatred or violence,KEYWORD_CYBER_INCITEMENT,
Category 3d,Cyber stalking,KEYWORD_CYBER_STALKING,
Category 3e,"Non-consensual (intimate) material sharing, including (image-based) sexual abuse (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Category 3f,Non-consensual sharing of material containing deepfake or similar technology using a third party's features (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Category 3g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 4,Cyber violence against women,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN, 
Category 4a,Cyber bullying and intimidation against girls,KEYWORD_BULLYING_AGAINST_GIRLS,
Category 4b,Cyber harassment against women,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Category 4c,Cyber stalking against women,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Category 4d,Gendered disinformation,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Category 4e,Illegal incitement to violence and hatred against women,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Category 4f,"Non-consensual (intimate) material sharing against women, including (image-based) sexual abuse against women (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
Category 4g,Non-consensual sharing of material containing deepfake or similar technology using a third party's features against women (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Category 4h,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 5,Data protection and privacy violations,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,
Category 5a,Biometric data breach,KEYWORD_BIOMETRIC_DATA_BREACH,
Category 5b,Data falsification,KEYWORD_DATA_FALSIFICATION,
Category 5c,Missing processing ground for data,KEYWORD_MISSING_PROCESSING_GROUND,
Category 5d,Right to be forgotten,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Category 5e,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 6,Illegal or harmful speech,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,
Category 6a,Defamation,KEYWORD_DEFAMATION,
Category 6b,Discrimination,KEYWORD_DISCRIMINATION,
Category 6c,Illegal incitement to violence and hatred based on protected characteristics (hate speech) ,KEYWORD_HATE_SPEECH,
Category 6d,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 7,Intellectual property infringements,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,
Category 7a,Copyright infringements,KEYWORD_COPYRIGHT_INFRINGEMENT,
Category 7b,Design infringements,KEYWORD_DESIGN_INFRINGEMENT,
Category 7c,Geographical indications infringements,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Category 7d,Patent infringements,KEYWORD_PATENT_INFRINGEMENT,
Category 7e,Trade secret infringements,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Category 7f,Trademark infringements,KEYWORD_TRADEMARK_INFRINGEMENT,
Category 7g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 8,Negative effects on civic discourse or elections,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,
Category 8a,"Misinformation, disinformation, foreign information manipulation and interference ",KEYWORD_MISINFORMATION_DISINFORMATION,
Category 8b,Violation of EU law relevant to civic discourse or elections ,KEYWORD_VIOLATION_EU_LAW,
Category 8c,Violation of national law relevant to civic discourse or elections ,KEYWORD_VIOLATION_NATIONAL_LAW,
Category 8d,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 9,Protection of minors ,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,
Category 9a,Age-specific restrictions concerning minors,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,
Category 9b,Child sexual abuse material,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,
Category 9c,Child sexual abuse material containing deepfake or similar technology,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,
Category 9d,Grooming/sexual enticement of minors ,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,
Category 9e,Unsafe challenges,KEYWORD_UNSAFE_CHALLENGES,
Category 9f,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 10,Risk for public security ,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,
Category 10a,Illegal organizations,KEYWORD_ILLEGAL_ORGANIZATIONS,
Category 10b,Risk for environmental damage,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,
Category 10c,Risk for public health,KEYWORD_RISK_PUBLIC_HEALTH,
Category 10d,Terrorist content,KEYWORD_TERRORIST_CONTENT,
Category 10e,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 11,Scams and/or fraud ,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,
Category 11a,Impersonation or account hijacking,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,
Category 11b,Inauthentic accounts,KEYWORD_INAUTHENTIC_ACCOUNTS,
Category 11c,Inauthentic listings,KEYWORD_INAUTHENTIC_LISTINGS,
Category 11d,Inauthentic user reviews,KEYWORD_INAUTHENTIC_USER_REVIEWS,
Category 11e,Phishing,KEYWORD_PHISHING,
Category 11f,Pyramid schemes,KEYWORD_PYRAMID_SCHEMES,
Category 11g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 12,Self-harm,STATEMENT_CATEGORY_SELF_HARM,
