Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,X,2025-07-01/2025-12-31,TOTAL,,TOTAL,10,10,0,72.71,"5,928",0.0,372.0,"Orders received from EU Member State authorities to act against illegal content under Art. 9 DSA. 

From approximately September 2025, structured subcategory selection by Member State Authorities became available. As a result, orders issued between July and September are reported under the 'Other' subcategory within the applicable broader category-level classification and  respective categories. Orders issued post-September are reported under their specific DSA subcategories, where available. Orders where no category has been specified by the relevant Authority are reported under Category 16 ('type of illegal content not specified by the public authority').","Specific items of content identified in orders. Counted as the number of distinct accounts or content items referenced per order. Where an order references multiple accounts, each is counted separately. For orders where structured item data is not available, one item is assumed per order as a conservative estimate.","X confirms receipt by sending an automated acknowledgement of receipt within one hour. 
","Median time to give effect to orders, measured in hours from order receipt to resolution. Orders processed between July and August 2025 (3 orders) do not have resolution timestamps and therefore have been excluded from the median calculation.","Information requests received from EU Member State authorities under Art. 10 DSA. 

From approximately September 2025, structured subcategory selection by Member State Authotiries became available. As a result, orders issued between July and September are reported under the 'Other' subcategory within the applicable broader category-level classification and  respective categories. Orders issued post-September are reported under their specific DSA subcategories, where available. Orders where no category has been specified by the relevant Authority are reported under Category 16 ('type of illegal content not specified by the public authority').
",X confirms receipt by sending an automated acknowledgement of receipt within one hour. ,"Median time to give effect to orders, measured in hours from order receipt to resolution. Orders that do not have resolution timestamps (1060 in total) have been excluded from the median calculation."
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0,0,0,,1,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,TOTAL,0,0,0,,1,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0,0,0,,298,0,579,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0,0,0,,39,0,727,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,TOTAL,0,0,0,,44,0,678,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,TOTAL,0,0,0,,93,0,644.5,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,TOTAL,0,0,0,,2,0,303.5,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,0,0,0,,16,0,681.5,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes orders issued by Member State Authorities concerning non-consensual behaviour and cyber harassment.,TOTAL,0,0,0,,104,0,431.5,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,0,0,0,,46,0,551,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0,0,0,,2,0,647,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0,0,0,,4,0,550,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,0,0,0,,31,0,551,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,0,0,0,,1,0,385,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,0,0,0,,5,0,532,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,0,0,0,,3,0,455,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,1,1,0,,67,0.0,650.0,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,0,0,0,,5,0,967,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,TOTAL,0,0,0,,10,0,933,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,0,0,0,,6,0,965,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes orders issued by Member State Authorities concerning privacy and personal data.
",TOTAL,1,1,0,,46,0,492.5,Corresponds to orders received between July and September for which subcategory selections was not available.,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,6,6,0,,"3,168",0.0,457.0,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,0,0,0,,546,0,371,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,0,0,0,,39,0,678,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,2,2,0,,1186,0,629,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes oders issued by Member State Authorities concerning hate speech, illegal incitement, and related harmful speech offences. 
",TOTAL,4,4,0,,1397,0,384,Corresponds to orders received between July and September for which subcategory selections was not available.,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,0,0,0,,7,0,559,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,0,0,0,,5,0,673,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes orders issued by Member State Authorities concerning intellectual property.
",TOTAL,0,0,0,,2,0,380.5,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,0,0,0,,15,0,988,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,0,0,0,,2,0,1226,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,0,0,0,,9,0,939,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes information requests from Member State Authorities concerning misinformation, disinformation, and other content with potential negative effects on civic discourse or elections.",TOTAL,0,0,0,,4,0,925.5,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,0,0,0,,111,0,110,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,0,0,0,,1,0,267,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,TOTAL,0,0,0,,46,0,244,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,,2,0,253,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,0,0,0,,5,0,557,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes orders issued by Member State Authorities concerning child safety, including child sexual abuse material and child exploitation. Also includes pornography-related orders mapped to Protection of Minors per Annex II category definitions.",TOTAL,0,0,0,,57,0,12,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,0,0,0,,"1,616",0,181,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,0,0,0,,41,0,557,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,0,0,0,,3,0,1515.5,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,0,0,0,,5,0,827,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,TOTAL,0,0,0,,148,0,561,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes orders issued by Member State Authorities concerning terrorism, cybercrime, and other public security threats.
",TOTAL,0,0,0,,1419,0,173,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,0,0,0,,145,0,512,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,0,0,0,,15,0,672,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,0,0,0,,10,0,927.5,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,0,0,0,,5,0,844,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_PHISHING,,TOTAL,0,0,0,,9,0,532,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,TOTAL,0,0,0,,3,0,558,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes orders issued by Member State Authorities concerning scams or fraudulent content.
",TOTAL,0,0,0,,103,0,484,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,0,0,0,,2,0,268,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,TOTAL,0,0,0,,0,0,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes orders issued by Member State Authorities concerning self-harm or suicide-related content.,TOTAL,0,0,0,,2,0,268,,,,,Corresponds to orders received between July and September for which subcategory selections was not available.,,
