Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,TOTAL,,"402,010",935,"603,437","1,742",3,1,"122,217",543,"265,878",379,"This includes the number of notices received through X’s notice and action mechanism pursuant to DSA Article 16. Each notice is counted once regardless of the number of items it refers to. Categories reflect the reporter's selected reason and subcategory at time of submission. Cross-category reclassification has been applied where a more specific category applies.
",Notices received from Trusted Flaggers awarded status under DSA Article 22.,"Number of specific items of information included in the total number of notices, reflecting the number of 'exact electronic locations' (i.e., content URLs) pointed out by the notifier pursuant to Article 16(2)(b).",Number of specific items of information included in notices submitted by Trusted Flaggers.,Median time to take action on notices calculated as the median time in hours between receipt of the notice and implementation of an action (case closure). Cases where no action was taken are excluded from the median calculation. ,Median time to take action on Trusted Flagger notices calculated as the median time in hours between receipt of the notice and implementation of an action (case closure). Cases where no action was taken are excluded from the median calculation.,"Actions taken on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law. ","Actions taken on Trusted Flagger notices on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law.","Actions taken on Trusted Flagger notices on the basis of the law, where content visibility is restricted in a specific EU Member State pursuant to applicable national law.",Actions taken on Trusted Flagger notices on the basis of X's Terms of Service.
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"2,258",0,"3,277",0,5,,122,0,"1,970",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,"1,773",0,"2,544",0,5,,93,0,"1,565",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,51,0,35,0,3,,4,0,32,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Animal welfare.,434,0,698,0,9,,25,0,373,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"2,168",0,"1,877",0,2,,86,0,"1,818",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,641,0,609,0,4,,18,0,545,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,65,0,32,0,1,,5,0,48,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,851,0,782,0,1,,42,0,725,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,148,0,115,0,6,,7,0,120,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,62,0,31,0,10,,2,0,38,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Consumer information infringements.,401,0,308,0,3,,12,0,342,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"38,147",46,"64,397",110,4,3,"13,369",9,"23,882",33,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"7,218",9,"8,848",25,4,1,"2,034",5,"5,003",4,,,,,,,,,,
