Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,"644,956",
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,"583,109",
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,"41,116",
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,98,Median time it took to reach a decision on the complaint calculated from the moment the complaint is received until and until the decision is notified to the recipient of the service. Decisions omitted have been excluded from the calculation of the median time.
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,"20,731","Includes the number of times where the complaint did not lead to a decision in the internal-complaints mechanism, including circumstances where the content was no longer available (e.g., was removed by the user before the appeal could be reviewed) as well as complaints that were still pending review at the end of the reporting period."
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,"94,787","Includes the total number of complaints for removal of content, reduction of visibility or reach, labels and appealable age-gating restrictions, including the number of times where the complaint did not lead to a decision in the internal-complaints mechanism. As a result, this number may exceed the sum on the rows below."
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,"71,820",
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,"20,794",
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,103.6,Median time it took to reach a decision on the complaint calculated from the moment the complaint is received until and until the decision is notified to the recipient of the service. Decisions omitted have been excluded from the calculation of the median time.
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Total number,"541,711","Includes the total number of complaints for suspension or termination of an account, including the number of times where the complaint did not lead to a decision in the internal-complaints mechanism. As a result, this number may exceed the sum on the rows below."
