Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information (updated)
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,"19,495,887",
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"1,774,306",
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9884,Accuracy reflects the percentage of all content that was correctly removed or correctly not removed during the reporting period.
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.9980,Precision reflects the percentage of automated removals of content that weren't overtuned following appeals.
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.9865,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.
"
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,"19,492,478",
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,"1,375,705",
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,0.9849,Accuracy reflects the percentage of all content that was correctly removed or correctly not removed during the reporting period.
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,0.9983,Precision reflects the percentage of automated removals of content that weren't overtuned following appeals.
All,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,0.9865,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.
"
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,"3,409",
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,"398,601",
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,935,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,0.7167,Precision reflects the percentage of automated removals of content that weren't overtuned following appeals.
Only for providers of online platforms,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,de,"406,560",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,en,"7,437,160",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,es,"1,019,126",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,fr,"534,762",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,it,"480,774",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,nl,"146,372",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,pt,"114,933",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,de,"282,072",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,en,"4,780,928",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,es,"428,151",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,fr,"913,514",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,it,"163,046",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,nl,"72,216",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,pt,"69,407",
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,0.9787,
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,0.9843,
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,es,0.9854,
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fr,0.8415,
Only for VLOPs,X,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,it,0.9942,
