,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"64,767,887"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,AT,"942,504"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BE,"1,691,159"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BG,"501,502"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CY,"202,205"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CZ,"1,284,599"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DE,"9,511,180"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DK,"728,058"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,EE,"171,151"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,ES,"11,012,424"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FI,"1,205,359"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FR,"12,271,889"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,GR,"1,220,619"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HR,"497,986"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HU,"795,698"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IE,"1,787,347"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IT,"4,949,068"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LT,"229,565"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LU,"117,953"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LV,"223,670"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,MT,"92,772"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,NL,"5,303,445"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PL,"4,901,770"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PT,"1,674,017"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,RO,"1,027,799"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SE,"1,801,194"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SI,"297,293"
Only for VLOPs and VLOSEs,X,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SK,"325,661"
