platform_name,created_date,count
TikTok,2025-02-13,4084292
TikTok,2025-02-14,4865332
TikTok,2025-02-15,6186962
TikTok,2025-02-16,6588889
TikTok,2025-02-17,6357081
TikTok,2025-02-18,5878935
TikTok,2025-02-19,5864173
TikTok,2025-02-20,6185390
TikTok,2025-02-21,5918359
TikTok,2025-02-22,6188293
TikTok,2025-02-23,6588589
TikTok,2025-02-24,6329547
TikTok,2025-02-25,6216863
TikTok,2025-02-26,6232365
TikTok,2025-02-27,6524227
TikTok,2025-02-28,6245342
TikTok,2025-03-01,6585128
TikTok,2025-03-02,6587615
X,2025-02-13,2709
X,2025-02-14,3758
X,2025-02-15,2185
X,2025-02-16,2134
X,2025-02-17,2280
X,2025-02-18,2088
X,2025-02-19,2331
X,2025-02-20,2829
X,2025-02-21,2161
X,2025-02-22,2022
X,2025-02-23,1464
X,2025-02-24,2402
X,2025-02-25,3541
X,2025-02-26,2806
X,2025-02-27,2855
X,2025-02-28,5808
X,2025-03-01,4215
X,2025-03-02,3345
